price,model_year,model,condition,cylinders,fuel,odometer,transmission,type,paint_color,is_4wd,date_posted,days_listed
11200,2015.0,dodge charger,excellent,6,gas,90302.0,automatic,sedan,black,1.0,2018-07-19,73
12500,2008.0,toyota 4runner,good,6,gas,141098.0,automatic,SUV,grey,,2019-03-10,35
9500,2014.0,ford focus,excellent,4,diesel,46000.0,automatic,sedan,,,2018-10-09,24
3200,2006.0,honda civic,excellent,4,gas,255390.0,automatic,sedan,blue,,2018-10-18,23
6200,2006.0,ford f-150,excellent,6,gas,69698.0,automatic,truck,custom,,2018-05-03,50
3800,2012.0,ford focus,good,4,gas,130323.0,automatic,sedan,black,,2018-11-29,261
3300,2011.0,kia soul,good,4,gas,188963.0,manual,SUV,black,,2019-02-16,71
10400,2012.0,chevrolet colorado,excellent,5,gas,111871.0,automatic,truck,red,1.0,2019-01-30,27
30300,2017.0,ford f150 supercrew cab xlt,good,6,gas,30339.0,automatic,pickup,brown,1.0,2018-07-15,14
19700,2017.0,chevrolet camaro lt coupe 2d,good,6,gas,35807.0,other,coupe,,,2018-05-16,99
4200,2006.0,jeep grand cherokee,excellent,6,gas,,automatic,SUV,white,1.0,2018-07-01,79
4877,2012.0,chevrolet cruze,excellent,4,gas,163261.0,automatic,sedan,white,,2019-04-18,21
3200,2004.0,bmw x5,excellent,6,gas,,automatic,SUV,black,1.0,2019-04-09,10
5200,2006.0,toyota highlander,good,,gas,186000.0,automatic,SUV,green,,2018-12-20,2
13000,2005.0,ram 1500,good,8,gas,146000.0,automatic,truck,grey,1.0,2019-03-14,26
16999,2013.0,chevrolet silverado 1500,good,8,gas,137230.0,automatic,truck,white,1.0,2018-05-29,24
10499,2017.0,chevrolet cruze,good,4,gas,53601.0,automatic,sedan,black,,2019-01-13,48
30000,1966.0,ford mustang,excellent,,gas,51000.0,manual,convertible,red,,2019-01-23,17
15999,2017.0,chevrolet cruze,good,4,gas,17498.0,automatic,sedan,black,,2018-11-07,54
12800,,ford f-150,excellent,6,gas,108500.0,automatic,pickup,white,,2018-09-23,15
14999,2013.0,chevrolet silverado 3500hd,good,8,gas,,automatic,truck,white,1.0,2018-05-09,22
14950,2012.0,ram 1500,excellent,8,gas,114773.0,automatic,truck,grey,1.0,2019-04-09,85
6950,2013.0,nissan altima,excellent,4,gas,158786.0,automatic,sedan,,,2018-12-24,41
7800,,ford f-150,like new,8,gas,97510.0,automatic,truck,white,1.0,2019-02-20,39
5500,2006.0,honda accord,good,4,gas,,automatic,sedan,silver,,2018-11-27,15
23300,2018.0,nissan frontier crew cab sv,good,6,gas,27493.0,other,pickup,,1.0,2018-10-13,36
3650,,subaru impreza,excellent,,gas,74000.0,automatic,sedan,blue,1.0,2018-08-07,60
1900,1994.0,jeep grand cherokee laredo,good,6,gas,207.0,automatic,SUV,grey,1.0,2018-07-27,9
9950,2008.0,toyota 4runner,excellent,6,gas,,automatic,SUV,silver,1.0,2018-06-08,53
6950,2005.0,chevrolet tahoe,excellent,,gas,186021.0,automatic,SUV,,1.0,2018-10-30,3
3000,2010.0,nissan versa,like new,4,gas,200412.0,automatic,hatchback,silver,,2018-09-23,33
4200,2012.0,ford focus,like new,4,gas,144273.0,automatic,sedan,silver,,2018-06-11,19
23800,2019.0,nissan frontier crew cab sv,good,6,gas,10899.0,other,pickup,silver,1.0,2019-02-28,30
16500,2012.0,ford f-250 sd,good,8,gas,123262.0,automatic,truck,silver,1.0,2018-09-25,47
26900,2014.0,chevrolet silverado 1500 crew,good,8,gas,68607.0,automatic,pickup,,1.0,2018-09-08,10
5900,2000.0,ford f250 super duty,good,8,diesel,202752.0,automatic,pickup,red,,2018-07-08,32
9950,2014.0,dodge charger,good,8,gas,102878.0,automatic,sedan,white,,2018-06-02,28
11950,2008.0,chevrolet silverado,good,8,gas,170000.0,automatic,truck,black,1.0,2019-03-13,38
4995,,hyundai elantra,like new,4,gas,151223.0,automatic,sedan,custom,,2018-09-15,1
4826,2000.0,gmc yukon,like new,8,gas,226111.0,automatic,SUV,grey,1.0,2018-06-30,14
9599,2011.0,chevrolet camaro,good,6,gas,100680.0,manual,coupe,silver,,2018-10-26,18
8499,2009.0,bmw x5,good,,gas,104482.0,automatic,SUV,blue,1.0,2019-03-04,52
26000,2017.0,ford mustang gt coupe 2d,good,8,gas,,other,coupe,yellow,,2018-11-26,31
18800,2015.0,chevrolet camaro lt coupe 2d,good,6,gas,33926.0,other,coupe,grey,,2019-01-16,152
18000,2010.0,ram 1500,good,8,gas,50500.0,automatic,truck,white,1.0,2018-06-16,11
2800,2010.0,chevrolet colorado,good,5,gas,200800.0,automatic,pickup,,,2018-07-24,10
2950,2003.0,chevrolet silverado,good,8,gas,230000.0,automatic,pickup,,,2018-05-06,24
32000,2017.0,honda pilot,like new,6,gas,32104.0,automatic,SUV,white,,2018-07-12,100
8995,2012.0,toyota rav4,excellent,4,gas,124526.0,automatic,SUV,black,1.0,2018-12-14,24
9995,2017.0,hyundai sonata,excellent,4,gas,105985.0,automatic,sedan,white,,2018-05-02,18
24600,2013.0,ford mustang gt coupe 2d,good,8,gas,22474.0,other,coupe,white,,2018-10-28,22
6500,2012.0,ford fusion se,excellent,6,gas,90000.0,automatic,sedan,grey,,2018-09-20,94
3995,2008.0,subaru forester,excellent,4,gas,165000.0,automatic,SUV,white,1.0,2018-12-24,19
39950,2018.0,chevrolet silverado,excellent,8,gas,18500.0,automatic,truck,,1.0,2018-08-05,16
26000,2015.0,chevrolet silverado 1500 crew,good,8,gas,92281.0,automatic,pickup,white,1.0,2019-04-02,82
18700,2017.0,nissan frontier crew cab sv,good,6,gas,40002.0,other,pickup,white,,2018-06-01,44
10800,,chevrolet colorado,excellent,5,gas,114922.0,automatic,truck,red,1.0,2018-06-23,35
5500,2004.0,ford explorer,good,6,gas,140355.0,automatic,SUV,white,1.0,2018-09-10,35
22900,2014.0,ford f150 supercrew cab xlt,good,6,gas,73711.0,automatic,pickup,white,1.0,2019-02-27,141
26700,2015.0,ford f150 supercrew cab xlt,good,6,gas,48278.0,other,pickup,brown,1.0,2018-09-22,64
21500,2019.0,nissan frontier crew cab sv,good,6,gas,16168.0,other,pickup,white,,2019-03-29,70
19700,2017.0,chevrolet camaro lt coupe 2d,good,6,gas,35807.0,other,coupe,black,,2019-03-11,33
24200,2018.0,chevrolet camaro lt coupe 2d,good,6,gas,,other,coupe,grey,,2018-07-20,57
22800,2013.0,ford f-350 sd,good,8,diesel,207738.0,automatic,truck,brown,1.0,2018-11-08,62
28400,2017.0,ford mustang gt coupe 2d,good,8,gas,6665.0,other,coupe,blue,,2018-05-16,46
29900,2018.0,ford mustang gt coupe 2d,good,8,gas,3827.0,automatic,coupe,yellow,,2019-03-22,48
22500,2019.0,nissan frontier crew cab sv,good,6,gas,24209.0,other,pickup,,1.0,2019-03-03,73
24600,2014.0,chevrolet silverado 1500 crew,good,6,gas,85048.0,automatic,pickup,silver,1.0,2018-08-19,96
23700,,nissan frontier crew cab sv,good,6,gas,12901.0,other,pickup,black,1.0,2018-09-21,8
21900,2018.0,nissan frontier crew cab sv,good,6,gas,27576.0,other,pickup,,1.0,2018-11-22,58
25300,,chevrolet camaro lt coupe 2d,good,6,gas,3568.0,other,coupe,,,2018-06-16,34
4600,2012.0,nissan versa,good,4,gas,146000.0,automatic,sedan,,,2018-06-07,32
28900,2017.0,ford f150 supercrew cab xlt,good,6,gas,,automatic,pickup,white,1.0,2018-09-18,58
14800,2016.0,kia sorento,like new,,gas,,automatic,SUV,brown,,2019-02-27,93
33900,2018.0,chevrolet silverado 1500 crew,good,8,gas,11315.0,other,pickup,white,1.0,2019-03-01,2
4800,2006.0,honda accord,like new,4,gas,195000.0,automatic,sedan,silver,,2018-12-12,49
4500,2012.0,chevrolet impala,excellent,6,gas,145000.0,automatic,sedan,white,,2018-10-10,38
21595,2015.0,chevrolet silverado 1500,excellent,8,gas,92634.0,automatic,truck,black,1.0,2018-11-15,53
37000,2018.0,chevrolet silverado 1500 crew,good,8,gas,30465.0,other,pickup,white,1.0,2019-01-13,55
22900,2019.0,nissan frontier crew cab sv,good,6,gas,,other,pickup,blue,1.0,2019-04-15,67
25900,2012.0,chevrolet silverado 1500 crew,good,,other,,other,pickup,,1.0,2018-08-31,44
10999,2010.0,ford edge,good,6,gas,98193.0,automatic,SUV,blue,1.0,2018-08-11,78
2900,2000.0,nissan maxima,good,6,gas,170000.0,automatic,sedan,green,,2018-09-23,12
2700,2005.0,chevrolet equinox,good,6,gas,150352.0,automatic,SUV,silver,,2019-04-02,49
2900,2000.0,nissan maxima,good,6,gas,,automatic,sedan,green,,2019-04-09,27
9500,2009.0,ford f-250,good,8,gas,189490.0,automatic,truck,white,1.0,2018-08-03,6
4900,2011.0,nissan sentra,good,4,gas,116000.0,automatic,sedan,silver,,2018-11-30,19
24000,2018.0,nissan frontier crew cab sv,good,6,gas,16295.0,other,pickup,blue,1.0,2018-05-26,30
18200,2012.0,nissan frontier crew cab sv,good,6,gas,,other,pickup,white,,2018-09-19,30
28000,2016.0,ford mustang gt coupe 2d,good,,gas,,other,coupe,black,,2018-11-20,28
24700,2015.0,ford mustang gt coupe 2d,good,8,gas,37270.0,other,coupe,black,,2019-04-16,41
26900,2014.0,chevrolet silverado 1500 crew,good,8,gas,68607.0,automatic,pickup,black,1.0,2018-07-28,18
4500,2013.0,nissan altima,excellent,,gas,140000.0,automatic,sedan,silver,,2019-03-29,108
19500,2014.0,ford f150,excellent,8,gas,116000.0,automatic,truck,grey,1.0,2018-06-26,40
2000,1993.0,ford f-150,good,8,gas,258225.0,automatic,truck,red,,2019-03-06,34
13995,2010.0,chevrolet silverado 1500,excellent,8,gas,151442.0,automatic,truck,silver,1.0,2018-12-20,72
39990,2015.0,chevrolet corvette,like new,8,gas,17340.0,manual,coupe,,,2018-07-14,38
11995,2012.0,chevrolet suburban,excellent,8,gas,158487.0,automatic,SUV,grey,1.0,2018-11-10,16
8995,,chevrolet silverado 1500,excellent,8,gas,119726.0,automatic,truck,grey,1.0,2019-03-18,27
15995,2013.0,jeep wrangler,excellent,6,gas,138806.0,automatic,SUV,black,1.0,2018-09-08,112
7995,2012.0,chevrolet cruze,excellent,4,gas,81559.0,automatic,sedan,black,,2018-12-16,57
28250,2017.0,chevrolet silverado 1500,excellent,8,gas,13808.0,automatic,truck,white,1.0,2018-08-17,11
6995,2004.0,ford expedition,excellent,8,gas,92546.0,automatic,SUV,blue,1.0,2018-05-23,18
13900,2016.0,dodge grand caravan,excellent,6,gas,62711.0,automatic,van,black,,2019-04-11,37
28975,2017.0,chevrolet silverado 1500,excellent,8,gas,8354.0,automatic,truck,black,1.0,2019-01-07,13
14995,2011.0,jeep wrangler,excellent,6,gas,118371.0,automatic,SUV,orange,1.0,2019-01-25,49
25600,2017.0,ford mustang gt coupe 2d,good,8,gas,42957.0,other,coupe,,,2019-01-24,83
12990,2011.0,ford expedition,good,8,gas,124775.0,automatic,SUV,custom,1.0,2018-06-11,50
6300,2010.0,ford taurus,excellent,6,gas,155743.0,automatic,sedan,,,2018-11-01,30
26400,2016.0,ford mustang gt coupe 2d,good,8,gas,16890.0,other,coupe,white,,2018-05-15,10
17300,2014.0,chevrolet camaro lt coupe 2d,good,6,gas,27915.0,other,coupe,red,,2019-01-16,25
26700,2017.0,ford mustang gt coupe 2d,good,8,gas,26192.0,other,coupe,black,,2019-02-14,17
18975,2012.0,chevrolet silverado 1500,excellent,8,gas,24390.0,automatic,truck,white,,2018-11-15,61
23300,,nissan frontier crew cab sv,good,,gas,,other,pickup,grey,1.0,2018-07-24,73
31800,2018.0,chevrolet silverado 1500 crew,good,8,gas,22838.0,automatic,pickup,white,1.0,2019-01-29,29
3995,1999.0,acura tl,good,6,gas,180000.0,automatic,sedan,black,,2018-06-19,52
18600,2012.0,ford mustang gt coupe 2d,good,8,gas,96562.0,other,coupe,red,,2018-12-20,14
21100,2017.0,chevrolet camaro lt coupe 2d,good,,gas,24510.0,other,coupe,red,,2019-04-19,38
2500,,toyota camry,good,6,gas,150000.0,automatic,sedan,silver,,2018-06-13,68
22000,,ford f350 super duty,good,8,diesel,163000.0,automatic,truck,,1.0,2019-02-05,38
3995,2001.0,ford ranger,good,6,gas,102000.0,automatic,truck,brown,,2018-05-27,79
3650,2012.0,kia soul,excellent,4,gas,,automatic,wagon,white,,2018-07-11,50
7975,2007.0,gmc sierra,excellent,8,gas,228409.0,automatic,truck,white,,2018-10-27,15
9950,2008.0,toyota 4runner,excellent,6,gas,207348.0,automatic,SUV,,1.0,2018-10-28,11
3595,2005.0,chevrolet impala,good,6,gas,147667.0,automatic,sedan,red,,2018-11-12,30
9850,2008.0,chevrolet silverado 1500,good,8,gas,182225.0,automatic,truck,blue,1.0,2018-08-15,36
18600,2012.0,ford mustang gt coupe 2d,good,8,gas,96562.0,other,coupe,red,,2018-07-31,59
21100,2017.0,chevrolet camaro lt coupe 2d,good,,gas,24510.0,other,coupe,red,,2019-03-29,1
5995,2006.0,ford ranger,good,6,gas,148600.0,automatic,truck,silver,1.0,2018-11-10,35
6900,2011.0,subaru outback,excellent,6,gas,135445.0,automatic,SUV,,1.0,2018-11-02,57
8995,2005.0,ram 1500,good,8,gas,,automatic,truck,grey,1.0,2019-03-10,33
31400,2016.0,chevrolet silverado 1500 crew,good,8,gas,15070.0,automatic,pickup,black,1.0,2019-01-17,64
24200,2018.0,nissan frontier crew cab sv,good,6,gas,11034.0,other,pickup,blue,1.0,2018-06-29,9
10990,2006.0,chevrolet silverado 1500,good,,gas,93726.0,automatic,truck,white,1.0,2018-05-17,19
15950,2015.0,honda cr-v,excellent,4,gas,,other,SUV,black,1.0,2018-09-22,12
7500,1997.0,ford mustang,good,8,gas,185000.0,manual,coupe,white,,2019-01-05,9
11950,2003.0,jeep wrangler,excellent,6,gas,97211.0,automatic,SUV,custom,1.0,2018-08-01,15
16950,2010.0,jeep wrangler,excellent,6,gas,85490.0,other,SUV,red,1.0,2018-12-26,29
6800,,honda cr-v,excellent,4,gas,186000.0,automatic,SUV,grey,1.0,2018-12-22,25
6500,2009.0,hyundai santa fe,good,6,gas,98000.0,manual,SUV,,,2019-03-18,27
3000,,honda accord,good,6,gas,204000.0,automatic,coupe,blue,,2018-05-18,21
15000,2009.0,toyota tacoma,excellent,6,gas,221000.0,automatic,truck,black,1.0,2019-02-20,30
52000,2008.0,ford f350 super duty,good,8,diesel,117500.0,automatic,truck,grey,1.0,2018-06-27,24
10950,2011.0,ford expedition,excellent,8,gas,130390.0,automatic,SUV,,1.0,2018-12-23,33
23000,2018.0,honda accord,like new,4,gas,15000.0,manual,sedan,,,2018-08-22,37
3950,2009.0,subaru impreza,excellent,4,gas,137882.0,automatic,hatchback,silver,1.0,2018-08-22,19
5295,2005.0,ford f-150,good,8,gas,225000.0,automatic,pickup,white,1.0,2018-06-19,15
6995,2009.0,ford ranger,good,4,gas,,automatic,pickup,white,,2019-03-31,130
8999,2013.0,ford escape,excellent,4,gas,122964.0,automatic,wagon,,1.0,2018-06-03,31
5999,2012.0,nissan versa,excellent,4,gas,76737.0,automatic,sedan,silver,,2018-07-31,3
10997,2014.0,ford escape,excellent,4,gas,,automatic,wagon,,1.0,2018-11-17,10
10000,2006.0,ford f-150,excellent,8,gas,181000.0,automatic,truck,silver,1.0,2018-07-17,9
17999,2008.0,gmc sierra 2500hd,excellent,8,diesel,101959.0,automatic,truck,white,1.0,2018-05-06,46
8499,,nissan rogue,excellent,4,gas,123360.0,automatic,wagon,blue,1.0,2019-03-28,28
7999,2012.0,nissan rogue,excellent,4,gas,93496.0,automatic,wagon,black,,2018-10-15,29
15900,,ford escape,excellent,4,gas,19764.0,automatic,SUV,black,1.0,2018-07-03,32
28200,2012.0,ford f-350 sd,excellent,8,diesel,129000.0,automatic,truck,black,1.0,2018-07-15,30
2000,2002.0,honda civic lx,good,4,gas,216875.0,automatic,coupe,red,,2018-05-21,47
22914,2015.0,bmw x5,excellent,6,gas,69686.0,automatic,SUV,white,1.0,2018-08-11,19
19900,2013.0,ford f-150,excellent,6,gas,79657.0,automatic,truck,silver,1.0,2018-10-30,42
34900,2017.0,ford f-250 sd,excellent,8,gas,,automatic,truck,white,1.0,2018-11-12,13
24495,2016.0,ford explorer,excellent,6,gas,50123.0,automatic,SUV,white,1.0,2018-11-17,49
5300,2010.0,dodge charger,good,8,gas,156000.0,automatic,sedan,white,,2018-07-04,43
22900,2015.0,gmc sierra 1500,excellent,8,gas,85190.0,automatic,truck,custom,1.0,2018-05-15,24
14685,2011.0,toyota tacoma,excellent,6,gas,145671.0,automatic,truck,black,1.0,2019-01-03,8
24869,2015.0,gmc sierra 1500,excellent,8,gas,82056.0,automatic,truck,black,1.0,2019-03-20,23
5995,2006.0,honda odyssey,excellent,6,gas,,automatic,van,red,,2019-04-10,33
4999,2005.0,toyota camry le,excellent,4,gas,105000.0,automatic,sedan,silver,,2019-03-01,60
7800,2012.0,chevrolet traverse,good,6,gas,157000.0,automatic,SUV,blue,1.0,2018-11-30,4
12500,2009.0,cadillac escalade,excellent,8,gas,159000.0,automatic,SUV,,1.0,2018-10-01,26
4975,2007.0,honda odyssey,excellent,6,gas,205000.0,automatic,mini-van,brown,,2018-10-28,35
2795,2003.0,volkswagen jetta,good,4,gas,178950.0,manual,sedan,,,2018-05-20,98
500,2004.0,toyota corolla,like new,4,gas,,automatic,sedan,blue,,2018-09-17,24
2800,2006.0,ford escape,excellent,6,gas,,automatic,SUV,white,,2018-05-11,5
41800,2018.0,chevrolet silverado 3500hd,good,8,gas,148459.0,automatic,truck,,1.0,2019-03-19,11
10800,2015.0,toyota camry,excellent,4,gas,28150.0,automatic,sedan,black,1.0,2018-09-25,24
2750,2006.0,honda civic lx,good,4,gas,200.0,manual,sedan,black,,2018-07-06,41
7995,2008.0,jeep grand cherokee,excellent,6,gas,104613.0,automatic,SUV,silver,1.0,2018-05-23,23
22500,2013.0,ford f-250 sd,good,8,gas,128415.0,automatic,truck,green,1.0,2019-03-03,32
9995,2013.0,chrysler town & country,excellent,6,gas,81999.0,automatic,van,,,2019-01-07,71
6995,2005.0,honda accord,like new,6,gas,45429.0,automatic,sedan,grey,,2018-11-04,53
11795,2015.0,toyota tacoma,excellent,4,gas,111048.0,automatic,truck,white,,2018-09-30,30
8795,2014.0,honda civic,excellent,,gas,85452.0,automatic,sedan,grey,,2018-09-11,164
6995,2011.0,hyundai sonata,excellent,4,gas,117371.0,automatic,sedan,grey,1.0,2019-02-26,20
6795,2013.0,volkswagen passat,excellent,5,gas,119453.0,automatic,sedan,red,,2018-12-12,19
6795,2012.0,volkswagen jetta,excellent,5,gas,104310.0,automatic,sedan,white,,2019-03-11,16
7995,2014.0,chevrolet cruze,excellent,4,gas,120052.0,automatic,sedan,blue,,2018-10-27,27
25800,2015.0,toyota tacoma,like new,6,gas,49900.0,automatic,pickup,white,1.0,2018-07-24,39
8595,2010.0,toyota prius,excellent,4,gas,99630.0,automatic,hatchback,white,,2019-02-05,44
8995,2010.0,toyota prius,excellent,4,gas,74138.0,automatic,hatchback,white,,2018-07-09,38
7995,2010.0,honda accord,excellent,,gas,90880.0,automatic,sedan,grey,,2018-09-16,3
7100,2004.0,ford f-150,good,8,gas,121000.0,automatic,truck,,1.0,2019-03-10,23
6995,2010.0,jeep liberty,excellent,,gas,105771.0,automatic,SUV,brown,1.0,2019-02-05,19
4795,2007.0,nissan altima,excellent,4,gas,131020.0,automatic,sedan,grey,,2018-10-19,31
6500,2009.0,ford f-250,good,8,gas,113000.0,automatic,pickup,white,1.0,2018-09-09,19
22800,2013.0,ford f-350 sd,good,8,diesel,,automatic,truck,brown,1.0,2018-09-27,38
1500,2001.0,jeep grand cherokee,good,6,gas,185000.0,automatic,SUV,black,1.0,2018-10-15,56
9799,2017.0,nissan altima,excellent,4,gas,51153.0,automatic,sedan,silver,1.0,2018-06-23,35
11799,2014.0,chevrolet camaro,excellent,6,gas,50468.0,automatic,coupe,yellow,,2018-12-30,39
5700,2002.0,chevrolet silverado 1500,good,8,gas,105000.0,automatic,pickup,silver,1.0,2018-06-17,68
3700,2009.0,nissan rogue,good,4,gas,174902.0,automatic,SUV,black,,2019-03-14,31
13499,2014.0,ford f150,good,6,gas,,automatic,pickup,,1.0,2019-02-13,20
24399,2013.0,ram 1500,excellent,,gas,97321.0,automatic,pickup,red,1.0,2019-01-08,43
11799,2015.0,chevrolet camaro,excellent,6,gas,26881.0,automatic,coupe,red,,2019-02-03,21
9299,2016.0,nissan altima,excellent,4,gas,47833.0,automatic,sedan,silver,,2019-01-19,75
3750,2007.0,jeep grand cherokee laredo,fair,6,gas,131800.0,automatic,SUV,grey,1.0,2018-06-29,50
3800,2012.0,nissan altima,good,4,gas,186576.0,automatic,sedan,black,,2019-01-02,37
7995,2011.0,subaru forester,good,4,gas,112000.0,automatic,SUV,blue,1.0,2019-02-12,53
23200,2018.0,chevrolet camaro lt coupe 2d,good,6,gas,7136.0,other,coupe,black,,2018-08-18,25
5500,1981.0,chevrolet corvette,fair,8,gas,75000.0,automatic,coupe,blue,,2019-01-15,49
9100,2014.0,kia sorento,good,4,gas,100100.0,automatic,SUV,silver,1.0,2018-08-30,74
8977,2013.0,kia sorento,excellent,,gas,85415.0,automatic,SUV,silver,,2018-07-25,72
18675,2015.0,ram 1500,good,8,gas,86115.0,automatic,truck,,1.0,2018-11-11,7
8675,2012.0,buick enclave,good,6,gas,,automatic,SUV,brown,,2018-05-06,36
14975,,toyota 4runner,good,6,gas,,automatic,SUV,silver,,2018-05-13,57
20675,2018.0,ford escape,good,4,gas,,automatic,SUV,black,1.0,2018-09-29,30
19675,2008.0,gmc sierra 2500hd,good,8,gas,,automatic,truck,grey,1.0,2018-09-22,35
14995,,chevrolet silverado 1500,good,8,gas,114587.0,automatic,truck,grey,1.0,2018-11-02,11
13889,2005.0,gmc sierra 2500hd,good,8,gas,95914.0,automatic,truck,custom,1.0,2018-07-13,37
5000,2011.0,toyota camry le,excellent,4,gas,173000.0,automatic,sedan,white,,2018-06-26,19
6100,2013.0,ford fusion,good,4,gas,,automatic,sedan,silver,,2018-07-19,80
3250,2001.0,ford f150,fair,8,gas,296000.0,automatic,truck,black,1.0,2018-12-07,24
28200,2012.0,ford f-350 sd,excellent,8,diesel,129000.0,automatic,truck,black,1.0,2018-09-26,28
15900,2016.0,ford escape,excellent,4,gas,19764.0,automatic,SUV,,1.0,2018-12-09,48
34900,2017.0,ford f-250 sd,excellent,8,gas,,automatic,truck,white,1.0,2018-12-06,56
22914,2015.0,bmw x5,excellent,6,gas,69686.0,automatic,SUV,white,1.0,2018-07-07,9
22900,2015.0,gmc sierra 1500,excellent,8,gas,85190.0,automatic,truck,,1.0,2018-08-24,11
19900,2013.0,ford f-150,excellent,6,gas,79657.0,automatic,truck,silver,1.0,2019-03-01,4
14685,2011.0,toyota tacoma,excellent,6,gas,,automatic,truck,,1.0,2018-06-21,32
24869,2015.0,gmc sierra 1500,excellent,8,gas,82056.0,automatic,truck,black,1.0,2018-06-29,22
22399,2011.0,gmc sierra 2500hd,excellent,8,gas,121047.0,automatic,pickup,,1.0,2018-05-17,66
